"시군구명","도로구간명","구간시점명","구간종점명","수종명","수목흉고직경","가로내녹지유형명","도로변녹지유형명","기후대구분명","입지명","지역X좌표","지역Y좌표","좌표계코드","시군구별가로수번호"
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,34,기타,기타,기타,기타,"354138.935","361143.7384",EPSG:5186,93309
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,29,기타,기타,기타,기타,"354027.1873","361191.4678",EPSG:5186,93310
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,28,기타,기타,기타,기타,"354107.3014","361049.1003",EPSG:5186,93841
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,20,기타,기타,기타,기타,"354154.5071","361002.513",EPSG:5186,93842
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,19,기타,기타,기타,기타,"354283.1984","360974.717",EPSG:5186,93843
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354007.9167","361180.1161",EPSG:5186,94601
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,22,기타,기타,기타,기타,"354145.1121","360991.0965",EPSG:5186,94602
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,28,기타,기타,기타,기타,"354034.7948","361174.4459",EPSG:5186,95358
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,19,기타,기타,기타,기타,"354202.5313","360977.1686",EPSG:5186,95359
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,24,기타,기타,기타,기타,"354033.8074","361190.0478",EPSG:5186,95360
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354122.9099","361121.9148",EPSG:5186,96278
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,27,기타,기타,기타,기타,"354015.3943","361178.3736",EPSG:5186,97013
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,20,기타,기타,기타,기타,"354117.7971","361001.1516",EPSG:5186,97014
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,28,기타,기타,기타,기타,"354229.763","360971.3036",EPSG:5186,97015
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,23,기타,기타,기타,기타,"354167.399","360984.8088",EPSG:5186,97016
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,23,기타,기타,기타,기타,"354209.617","360990.6828",EPSG:5186,97650
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,20,기타,기타,기타,기타,"354194.5504","360979.8309",EPSG:5186,98423
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,28,기타,기타,기타,기타,"354117.4608","361169.1763",EPSG:5186,99051
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354013.2626","361194.4546",EPSG:5186,99700
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,23,기타,기타,기타,기타,"354121.5976","361114.6645",EPSG:5186,100532
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,34,기타,기타,기타,기타,"354108.753","361012.8724",EPSG:5186,100533
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354291.1091","360973.3923",EPSG:5186,100534
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,18,기타,기타,기타,기타,"354255.612","360980.7199",EPSG:5186,100535
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354077.0518","361165.4723",EPSG:5186,101294
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,27,기타,기타,기타,기타,"354106.8559","361158.8806",EPSG:5186,101295
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354241.2456","360968.8305",EPSG:5186,101296
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354085.7693","361178.7205",EPSG:5186,101298
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,27,기타,기타,기타,기타,"354123.4009","361146.817",EPSG:5186,102135
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,40,기타,기타,기타,기타,"354119.1606","361107.0596",EPSG:5186,102136
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354109.2521","361058.8949",EPSG:5186,102137
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354096.0028","361176.391",EPSG:5186,102138
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354069.8488","361167.1617",EPSG:5186,102829
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,24,기타,기타,기타,기타,"354189.2977","360995.0008",EPSG:5186,102830
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,23,기타,기타,기타,기타,"354161.0397","361001.0759",EPSG:5186,102831
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354276.9902","360961.0234",EPSG:5186,103505
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,18,기타,기타,기타,기타,"354248.9564","360982.3046",EPSG:5186,103506
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,24,기타,기타,기타,기타,"354182.0563","360996.8536",EPSG:5186,103507
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354079.7642","361180.0331",EPSG:5186,103508
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354203.2851","360992.0354",EPSG:5186,104231
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,24,기타,기타,기타,기타,"354234.9229","360970.1923",EPSG:5186,104875
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,19,기타,기타,기타,기타,"354241.859","360983.7397",EPSG:5186,105568
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,24,기타,기타,기타,기타,"354195.7346","360993.6864",EPSG:5186,105569
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,33,기타,기타,기타,기타,"354136.5155","361150.3269",EPSG:5186,105570
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,28,기타,기타,기타,기타,"354126.341","361137.1024",EPSG:5186,106230
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354106.1307","361019.7721",EPSG:5186,106231
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,25,기타,기타,기타,기타,"354248.0832","360967.3387",EPSG:5186,106232
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,27,기타,기타,기타,기타,"354222.3818","360972.8933",EPSG:5186,106233
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,17,기타,기타,기타,기타,"354188.2916","360981.4864",EPSG:5186,107192
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,26,기타,기타,기타,기타,"354006.9535","361195.8079",EPSG:5186,107195
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,23,기타,기타,기타,기타,"354040.7531","361188.558",EPSG:5186,107196
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,22,기타,기타,기타,기타,"354175.1096","360997.9921",EPSG:5186,107714
대구광역시 수성구,고산로12길,고산로12길,신매동 594,은행나무,23,기타,기타,기타,기타,"354168.365","360999.525",EPSG:5186,107715
